archetype,difficulty,confirmatory_candidates,selected_confirmatory,unselected_candidates,development_minimum,selection_seed_integer
resource_location,direct,20,10,10,1,8030438251456861422
resource_location,irrelevant_distractor,20,10,10,1,8030438251456861422
resource_location,compositional,20,10,10,1,8030438251456861422
tool_placement,direct,20,10,10,1,8030438251456861422
tool_placement,irrelevant_distractor,20,10,10,1,8030438251456861422
tool_placement,compositional,20,10,10,1,8030438251456861422
rendezvous_destination,direct,20,10,10,1,8030438251456861422
rendezvous_destination,irrelevant_distractor,20,10,10,1,8030438251456861422
rendezvous_destination,compositional,20,10,10,1,8030438251456861422
delivery_destination,direct,20,10,10,1,8030438251456861422
delivery_destination,irrelevant_distractor,20,10,10,1,8030438251456861422
delivery_destination,compositional,20,10,10,1,8030438251456861422
hazard_assignment,direct,20,10,10,1,8030438251456861422
hazard_assignment,irrelevant_distractor,20,10,10,1,8030438251456861422
hazard_assignment,compositional,20,10,10,1,8030438251456861422
maintenance_target,direct,20,10,10,1,8030438251456861422
maintenance_target,irrelevant_distractor,20,10,10,1,8030438251456861422
maintenance_target,compositional,20,10,10,1,8030438251456861422
