record_type,N,assumed_sd,effect,alpha,target_power,approx_power,mde,ci95_half_width,calls_per_model,calls_two_models,fixed_delay_minutes_per_model_if_20s,fixed_delay_minutes_two_models_if_serial_20s
budget,36,,,0.05,,,,,288,576,96.0,192.0
budget,54,,,0.05,,,,,432,864,144.0,288.0
budget,72,,,0.05,,,,,576,1152,192.0,384.0
budget,90,,,0.05,,,,,720,1440,240.0,480.0
budget,108,,,0.05,,,,,864,1728,288.0,576.0
budget,126,,,0.05,,,,,1008,2016,336.0,672.0
budget,144,,,0.05,,,,,1152,2304,384.0,768.0
budget,180,,,0.05,,,,,1440,2880,480.0,960.0
budget,216,,,0.05,,,,,1728,3456,576.0,1152.0
precision_mde,36,0.5,,0.05,0.8,,0.23346543484274737,0.1633303320450045,288,576,96.0,192.0
precision_mde,36,0.5,,0.05,0.9,,0.2701262958403879,0.1633303320450045,288,576,96.0,192.0
precision_mde,36,0.75,,0.05,0.8,,0.35019815226412104,0.24499549806750676,288,576,96.0,192.0
precision_mde,36,0.75,,0.05,0.9,,0.4051894437605818,0.24499549806750676,288,576,96.0,192.0
precision_mde,36,1.0,,0.05,0.8,,0.46693086968549474,0.326660664090009,288,576,96.0,192.0
precision_mde,36,1.0,,0.05,0.9,,0.5402525916807758,0.326660664090009,288,576,96.0,192.0
precision_mde,36,1.25,,0.05,0.8,,0.5836635871068684,0.4083258301125112,288,576,96.0,192.0
precision_mde,36,1.25,,0.05,0.9,,0.6753157396009697,0.4083258301125112,288,576,96.0,192.0
precision_mde,36,1.5,,0.05,0.8,,0.7003963045282421,0.4899909961350135,288,576,96.0,192.0
precision_mde,36,1.5,,0.05,0.9,,0.8103788875211636,0.4899909961350135,288,576,96.0,192.0
precision_mde,36,2.0,,0.05,0.8,,0.9338617393709895,0.653321328180018,288,576,96.0,192.0
precision_mde,36,2.0,,0.05,0.9,,1.0805051833615515,0.653321328180018,288,576,96.0,192.0
precision_mde,54,0.5,,0.05,0.8,,0.190623729313908,0.13335865767653637,432,864,144.0,288.0
precision_mde,54,0.5,,0.05,0.9,,0.2205571969723481,0.13335865767653637,432,864,144.0,288.0
precision_mde,54,0.75,,0.05,0.8,,0.285935593970862,0.20003798651480456,432,864,144.0,288.0
precision_mde,54,0.75,,0.05,0.9,,0.33083579545852215,0.20003798651480456,432,864,144.0,288.0
precision_mde,54,1.0,,0.05,0.8,,0.381247458627816,0.26671731535307275,432,864,144.0,288.0
precision_mde,54,1.0,,0.05,0.9,,0.4411143939446962,0.26671731535307275,432,864,144.0,288.0
precision_mde,54,1.25,,0.05,0.8,,0.4765593232847701,0.3333966441913409,432,864,144.0,288.0
precision_mde,54,1.25,,0.05,0.9,,0.5513929924308703,0.3333966441913409,432,864,144.0,288.0
precision_mde,54,1.5,,0.05,0.8,,0.571871187941724,0.4000759730296091,432,864,144.0,288.0
precision_mde,54,1.5,,0.05,0.9,,0.6616715909170443,0.4000759730296091,432,864,144.0,288.0
precision_mde,54,2.0,,0.05,0.8,,0.762494917255632,0.5334346307061455,432,864,144.0,288.0
precision_mde,54,2.0,,0.05,0.9,,0.8822287878893924,0.5334346307061455,432,864,144.0,288.0
precision_mde,72,0.5,,0.05,0.8,,0.16508499214997274,0.11549198536247317,576,1152,192.0,384.0
precision_mde,72,0.5,,0.05,0.9,,0.19100813556554178,0.11549198536247317,576,1152,192.0,384.0
precision_mde,72,0.75,,0.05,0.8,,0.2476274882249591,0.17323797804370974,576,1152,192.0,384.0
precision_mde,72,0.75,,0.05,0.9,,0.2865122033483126,0.17323797804370974,576,1152,192.0,384.0
precision_mde,72,1.0,,0.05,0.8,,0.3301699842999455,0.23098397072494634,576,1152,192.0,384.0
precision_mde,72,1.0,,0.05,0.9,,0.38201627113108355,0.23098397072494634,576,1152,192.0,384.0
precision_mde,72,1.25,,0.05,0.8,,0.41271248037493186,0.2887299634061829,576,1152,192.0,384.0
precision_mde,72,1.25,,0.05,0.9,,0.4775203389138544,0.2887299634061829,576,1152,192.0,384.0
precision_mde,72,1.5,,0.05,0.8,,0.4952549764499182,0.3464759560874195,576,1152,192.0,384.0
precision_mde,72,1.5,,0.05,0.9,,0.5730244066966252,0.3464759560874195,576,1152,192.0,384.0
precision_mde,72,2.0,,0.05,0.8,,0.660339968599891,0.46196794144989267,576,1152,192.0,384.0
precision_mde,72,2.0,,0.05,0.9,,0.7640325422621671,0.46196794144989267,576,1152,192.0,384.0
precision_mde,90,0.5,,0.05,0.8,,0.14765650580494327,0.10329917205076027,720,1440,240.0,480.0
precision_mde,90,0.5,,0.05,0.9,,0.17084287015201863,0.10329917205076027,720,1440,240.0,480.0
precision_mde,90,0.75,,0.05,0.8,,0.22148475870741488,0.1549487580761404,720,1440,240.0,480.0
precision_mde,90,0.75,,0.05,0.9,,0.25626430522802796,0.1549487580761404,720,1440,240.0,480.0
precision_mde,90,1.0,,0.05,0.8,,0.29531301160988654,0.20659834410152053,720,1440,240.0,480.0
precision_mde,90,1.0,,0.05,0.9,,0.34168574030403726,0.20659834410152053,720,1440,240.0,480.0
precision_mde,90,1.25,,0.05,0.8,,0.3691412645123582,0.2582479301269006,720,1440,240.0,480.0
precision_mde,90,1.25,,0.05,0.9,,0.4271071753800466,0.2582479301269006,720,1440,240.0,480.0
precision_mde,90,1.5,,0.05,0.8,,0.44296951741482976,0.3098975161522808,720,1440,240.0,480.0
precision_mde,90,1.5,,0.05,0.9,,0.5125286104560559,0.3098975161522808,720,1440,240.0,480.0
precision_mde,90,2.0,,0.05,0.8,,0.5906260232197731,0.41319668820304106,720,1440,240.0,480.0
precision_mde,90,2.0,,0.05,0.9,,0.6833714806080745,0.41319668820304106,720,1440,240.0,480.0
precision_mde,108,0.5,,0.05,0.8,,0.13479133165293322,0.09429881117301431,864,1728,288.0,576.0
precision_mde,108,0.5,,0.05,0.9,,0.15595748961864442,0.09429881117301431,864,1728,288.0,576.0
precision_mde,108,0.75,,0.05,0.8,,0.20218699747939983,0.14144821675952146,864,1728,288.0,576.0
precision_mde,108,0.75,,0.05,0.9,,0.23393623442796663,0.14144821675952146,864,1728,288.0,576.0
precision_mde,108,1.0,,0.05,0.8,,0.26958266330586644,0.18859762234602861,864,1728,288.0,576.0
precision_mde,108,1.0,,0.05,0.9,,0.31191497923728884,0.18859762234602861,864,1728,288.0,576.0
precision_mde,108,1.25,,0.05,0.8,,0.33697832913233305,0.23574702793253574,864,1728,288.0,576.0
precision_mde,108,1.25,,0.05,0.9,,0.38989372404661105,0.23574702793253574,864,1728,288.0,576.0
precision_mde,108,1.5,,0.05,0.8,,0.40437399495879967,0.2828964335190429,864,1728,288.0,576.0
precision_mde,108,1.5,,0.05,0.9,,0.46787246885593325,0.2828964335190429,864,1728,288.0,576.0
precision_mde,108,2.0,,0.05,0.8,,0.5391653266117329,0.37719524469205723,864,1728,288.0,576.0
precision_mde,108,2.0,,0.05,0.9,,0.6238299584745777,0.37719524469205723,864,1728,288.0,576.0
precision_mde,126,0.5,,0.05,0.8,,0.1247925241193937,0.0873037347686331,1008,2016,336.0,672.0
precision_mde,126,0.5,,0.05,0.9,,0.14438857859901003,0.0873037347686331,1008,2016,336.0,672.0
precision_mde,126,0.75,,0.05,0.8,,0.18718878617909054,0.13095560215294966,1008,2016,336.0,672.0
precision_mde,126,0.75,,0.05,0.9,,0.21658286789851505,0.13095560215294966,1008,2016,336.0,672.0
precision_mde,126,1.0,,0.05,0.8,,0.2495850482387874,0.1746074695372662,1008,2016,336.0,672.0
precision_mde,126,1.0,,0.05,0.9,,0.28877715719802005,0.1746074695372662,1008,2016,336.0,672.0
precision_mde,126,1.25,,0.05,0.8,,0.3119813102984843,0.21825933692158273,1008,2016,336.0,672.0
precision_mde,126,1.25,,0.05,0.9,,0.3609714464975251,0.21825933692158273,1008,2016,336.0,672.0
precision_mde,126,1.5,,0.05,0.8,,0.3743775723581811,0.2619112043058993,1008,2016,336.0,672.0
precision_mde,126,1.5,,0.05,0.9,,0.4331657357970301,0.2619112043058993,1008,2016,336.0,672.0
precision_mde,126,2.0,,0.05,0.8,,0.4991700964775748,0.3492149390745324,1008,2016,336.0,672.0
precision_mde,126,2.0,,0.05,0.9,,0.5775543143960401,0.3492149390745324,1008,2016,336.0,672.0
precision_mde,144,0.5,,0.05,0.8,,0.11673271742137369,0.08166516602250225,1152,2304,384.0,768.0
precision_mde,144,0.5,,0.05,0.9,,0.13506314792019394,0.08166516602250225,1152,2304,384.0,768.0
precision_mde,144,0.75,,0.05,0.8,,0.17509907613206052,0.12249774903375338,1152,2304,384.0,768.0
precision_mde,144,0.75,,0.05,0.9,,0.2025947218802909,0.12249774903375338,1152,2304,384.0,768.0
precision_mde,144,1.0,,0.05,0.8,,0.23346543484274737,0.1633303320450045,1152,2304,384.0,768.0
precision_mde,144,1.0,,0.05,0.9,,0.2701262958403879,0.1633303320450045,1152,2304,384.0,768.0
precision_mde,144,1.25,,0.05,0.8,,0.2918317935534342,0.2041629150562556,1152,2304,384.0,768.0
precision_mde,144,1.25,,0.05,0.9,,0.33765786980048484,0.2041629150562556,1152,2304,384.0,768.0
precision_mde,144,1.5,,0.05,0.8,,0.35019815226412104,0.24499549806750676,1152,2304,384.0,768.0
precision_mde,144,1.5,,0.05,0.9,,0.4051894437605818,0.24499549806750676,1152,2304,384.0,768.0
precision_mde,144,2.0,,0.05,0.8,,0.46693086968549474,0.326660664090009,1152,2304,384.0,768.0
precision_mde,144,2.0,,0.05,0.9,,0.5402525916807758,0.326660664090009,1152,2304,384.0,768.0
