cell,candidate_count,selected_count,unselected_count,development_count,passed
delivery_destination|compositional,20,10,10,1,True
delivery_destination|direct,20,10,10,1,True
delivery_destination|irrelevant_distractor,20,10,10,1,True
hazard_assignment|compositional,20,10,10,1,True
hazard_assignment|direct,20,10,10,1,True
hazard_assignment|irrelevant_distractor,20,10,10,1,True
maintenance_target|compositional,20,10,10,1,True
maintenance_target|direct,20,10,10,1,True
maintenance_target|irrelevant_distractor,20,10,10,1,True
rendezvous_destination|compositional,20,10,10,1,True
rendezvous_destination|direct,20,10,10,1,True
rendezvous_destination|irrelevant_distractor,20,10,10,1,True
resource_location|compositional,20,10,10,1,True
resource_location|direct,20,10,10,1,True
resource_location|irrelevant_distractor,20,10,10,1,True
tool_placement|compositional,20,10,10,1,True
tool_placement|direct,20,10,10,1,True
tool_placement|irrelevant_distractor,20,10,10,1,True
